task_name,rule,rule_family,difficulty,shift_type,schema_success,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,final_score,pred_pre_json,pred_post_json,pred_pre_probe_json,pred_post_probe_json,support_pool_json,queries_json,probes_json,post_support_pool_json,post_queries_json,post_probes_json,metadata_json,error_type,error_message
symbolic_binding_string,iteration_duplicate,iteration,medium,full_rule_remap,True,1.0,0.625,0.625,1.0,0.0,1.0,0.625,1.0,1.0,1.0,1.0,0.8875,"{""1"": [""nefsi lode nefsi lode nefsi lode nefsi lode""], ""2"": [""nefsi lode nefsi lode nefsi lode nefsi lode""], ""3"": [""nefsi lode nefsi lode nefsi lode nefsi lode""], ""4"": [""nefsi lode nefsi lode nefsi lode nefsi lode""], ""5"": [""nefsi lode nefsi lode nefsi lode nefsi lode""]}","{""1"": [""fide fide""], ""2"": [""fide fide""], ""3"": [""fide""], ""4"": [""fide""], ""5"": [""fide""]}","[""fide fide fide fide""]","[""nefsi""]","[{""inp"": ""sash nefsi lode"", ""out"": ""sash nefsi lode sash nefsi lode""}, {""inp"": ""lode nefsi fide"", ""out"": ""lode nefsi fide lode nefsi fide""}, {""inp"": ""lode fide lode lode"", ""out"": ""lode fide lode lode lode fide lode lode""}, {""inp"": ""sash lode fide nefsi"", ""out"": ""sash lode fide nefsi sash lode fide nefsi""}, {""inp"": ""nefsi nefsi nefsi lode"", ""out"": ""nefsi nefsi nefsi lode nefsi nefsi nefsi lode""}]","[{""inp"": ""nefsi lode nefsi lode"", ""out"": ""nefsi lode nefsi lode nefsi lode nefsi lode""}]","[{""inp"": ""fide fide"", ""out"": ""fide fide fide fide""}]","[{""inp"": ""nefsi sash sash sash"", ""out"": ""sash sash""}, {""inp"": ""nefsi fide nefsi lode"", ""out"": ""fide lode""}, {""inp"": ""fide nefsi sash"", ""out"": ""nefsi""}, {""inp"": ""sash nefsi lode fide"", ""out"": ""nefsi fide""}, {""inp"": ""nefsi nefsi nefsi"", ""out"": ""nefsi""}]","[{""inp"": ""nefsi fide nefsi"", ""out"": ""fide""}]","[{""inp"": ""lode nefsi"", ""out"": ""nefsi""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""partitioning"", ""permutation"", ""iteration""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""partitioning_by_offset_offset_1"", ""shifted_template_family"": ""partitioning"", ""shifted_template_params"": {""offset"": 1}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,partitioning_by_offset_offset_1,partitioning,hard,full_rule_remap,True,0.75,1.0,1.0,1.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.9000000000000001,"{""1"": [""chinva""], ""2"": [""chinva""], ""3"": [""chinva""], ""4"": [""shagchi""], ""5"": [""chinva""]}","{""1"": [""chinva nap shagchi shagchi""], ""2"": [""chinva nap shagchi shagchi""], ""3"": [""chinva nap shagchi shagchi""], ""4"": [""chinva nap shagchi shagchi""], ""5"": [""chinva nap shagchi shagchi""]}","[""shagchi""]","[""shagchi chisi chinva nap kizcho kizcho""]","[{""inp"": ""chinva shagchi kizcho"", ""out"": ""shagchi""}, {""inp"": ""chinva nap"", ""out"": ""nap""}, {""inp"": ""chinva nap kizcho"", ""out"": ""nap""}, {""inp"": ""chisi chinva kizcho"", ""out"": ""chinva""}, {""inp"": ""nap kizcho shagchi"", ""out"": ""kizcho""}]","[{""inp"": ""shagchi chinva"", ""out"": ""chinva""}]","[{""inp"": ""kizcho chinva shagchi chisi nap"", ""out"": ""chinva chisi""}]","[{""inp"": ""shagchi nap chinva"", ""out"": ""shagchi nap chinva chinva""}, {""inp"": ""nap shagchi"", ""out"": ""nap shagchi shagchi""}, {""inp"": ""shagchi chinva chisi"", ""out"": ""shagchi chinva chisi chisi""}, {""inp"": ""chisi chinva nap"", ""out"": ""chisi chinva nap nap""}, {""inp"": ""nap chinva"", ""out"": ""nap chinva chinva""}]","[{""inp"": ""chinva nap shagchi"", ""out"": ""chinva nap shagchi shagchi""}]","[{""inp"": ""shagchi chisi chinva nap kizcho"", ""out"": ""shagchi chisi chinva nap kizcho kizcho""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""iteration"", ""extension"", ""permutation"", ""reindexing""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,iteration_duplicate,iteration,easy,full_rule_remap,True,1.0,0.125,0.125,0.0,0.0,1.0,0.125,1.0,0.0,1.0,0.0,0.4375,"{""1"": [""tim mag mesho mesho tim mag mesho mesho""], ""2"": [""tim mag mesho mesho tim mag mesho mesho""], ""3"": [""tim mag mesho mesho tim mag mesho mesho""], ""4"": [""tim mag mesho mesho tim mag mesho mesho""], ""5"": [""tim mag mesho mesho tim mag mesho mesho""]}","{""1"": [""mag mesho mesho mag mag""], ""2"": [""mag mesho mesho mag mesho""], ""3"": [""mag mesho mesho mag mesho""], ""4"": [""mag mesho mesho mag mesho""], ""5"": [""mag mesho mesho mag mesho""]}","[""mag mesho mesho tim mag mag mag mesho mesho tim mag mag""]","[""tim mesho mag mesho mesho tim mesho""]","[{""inp"": ""mag mag tim mesho"", ""out"": ""mag mag tim mesho mag mag tim mesho""}, {""inp"": ""mesho mesho tim tim"", ""out"": ""mesho mesho tim tim mesho mesho tim tim""}, {""inp"": ""mesho mag mag mag"", ""out"": ""mesho mag mag mag mesho mag mag mag""}, {""inp"": ""tim mesho tim mesho"", ""out"": ""tim mesho tim mesho tim mesho tim mesho""}, {""inp"": ""mag mag mag mesho mag"", ""out"": ""mag mag mag mesho mag mag mag mag mesho mag""}]","[{""inp"": ""tim mag mesho mesho"", ""out"": ""tim mag mesho mesho tim mag mesho mesho""}]","[{""inp"": ""mag mesho mesho tim mag mag"", ""out"": ""mag mesho mesho tim mag mag mag mesho mesho tim mag mag""}]","[{""inp"": ""mag mesho mag mesho mag"", ""out"": ""mag mesho mag mesho mag mag""}, {""inp"": ""mesho tim mesho tim"", ""out"": ""mesho tim mesho tim tim""}, {""inp"": ""mesho mesho tim mag mag"", ""out"": ""mesho mesho tim mag mag mag""}, {""inp"": ""mesho mesho tim tim"", ""out"": ""mesho mesho tim tim tim""}, {""inp"": ""tim mesho tim mesho"", ""out"": ""tim mesho tim mesho mesho""}]","[{""inp"": ""mag mesho mesho mag"", ""out"": ""mag mesho mesho mag mag""}]","[{""inp"": ""tim mesho mag mesho mesho tim"", ""out"": ""tim mesho mag mesho mesho tim tim""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""iteration""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,partitioning_by_offset_offset_1,partitioning,medium,full_rule_remap,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,"{""1"": [""chosi sir""], ""2"": [""chosi""], ""3"": [""sir""], ""4"": [""sir""], ""5"": [""chosi sir""]}","{""1"": [""sir nasno shid chosi sir nasno shid chosi""], ""2"": [""sir nasno shid chosi sir nasno shid chosi""], ""3"": [""sir nasno shid chosi sir nasno shid chosi""], ""4"": [""sir nasno shid chosi sir nasno shid chosi""], ""5"": [""sir nasno shid chosi sir nasno shid chosi""]}","[""shid""]","[""sir shid sir shid""]","[{""inp"": ""nasno nasno shid chosi"", ""out"": ""nasno chosi""}, {""inp"": ""nasno chosi sir"", ""out"": ""chosi""}, {""inp"": ""shid sir chosi"", ""out"": ""sir""}, {""inp"": ""chosi sir shid"", ""out"": ""sir""}, {""inp"": ""nasno nasno sir sir"", ""out"": ""nasno sir""}]","[{""inp"": ""chosi sir shid sir"", ""out"": ""sir sir""}]","[{""inp"": ""shid shid"", ""out"": ""shid""}]","[{""inp"": ""nasno sir nasno"", ""out"": ""nasno sir nasno nasno sir nasno""}, {""inp"": ""sir chosi sir nasno"", ""out"": ""sir chosi sir nasno sir chosi sir nasno""}, {""inp"": ""chosi nasno sir nasno"", ""out"": ""chosi nasno sir nasno chosi nasno sir nasno""}, {""inp"": ""nasno chosi nasno"", ""out"": ""nasno chosi nasno nasno chosi nasno""}, {""inp"": ""shid sir nasno shid"", ""out"": ""shid sir nasno shid shid sir nasno shid""}]","[{""inp"": ""sir nasno shid chosi"", ""out"": ""sir nasno shid chosi sir nasno shid chosi""}]","[{""inp"": ""sir shid"", ""out"": ""sir shid sir shid""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""partitioning"", ""iteration"", ""permutation""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_first,extension,easy,full_rule_remap,True,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4,"{""1"": [""femta mume sile mume mume femta""], ""2"": [""femta mume sile mume mume femta""], ""3"": [""femta mume sile mume mume femta""], ""4"": [""femta mume sile mume mume femta""], ""5"": [""femta mume sile mume mume femta""]}","{""1"": [""femta femta sile mume""], ""2"": [""femta femta sile mume""], ""3"": [""femta femta sile mume""], ""4"": [""femta femta sile mume""], ""5"": [""femta femta sile mume""]}","[""mume mume sile sile femta sile femta mume""]","[""femta femta femta femta femta femta mume""]","[{""inp"": ""sile mume sile femta mume"", ""out"": ""sile mume sile femta mume sile""}, {""inp"": ""sile sile mume femta mume"", ""out"": ""sile sile mume femta mume sile""}, {""inp"": ""sile femta femta sile"", ""out"": ""sile femta femta sile sile""}, {""inp"": ""sile mume sile femta"", ""out"": ""sile mume sile femta sile""}, {""inp"": ""femta femta sile mume"", ""out"": ""femta femta sile mume femta""}]","[{""inp"": ""femta mume sile mume mume"", ""out"": ""femta mume sile mume mume femta""}]","[{""inp"": ""mume mume sile sile femta sile femta"", ""out"": ""mume mume sile sile femta sile femta mume""}]","[{""inp"": ""mume femta mume femta femta"", ""out"": ""femta femta mume femta mume""}, {""inp"": ""sile mume sile femta mume"", ""out"": ""mume femta sile mume sile""}, {""inp"": ""sile sile mume sile mume"", ""out"": ""mume sile mume sile sile""}, {""inp"": ""femta sile femta mume"", ""out"": ""mume femta sile femta""}, {""inp"": ""mume mume sile mume"", ""out"": ""mume sile mume mume""}]","[{""inp"": ""sile mume mume femta"", ""out"": ""femta mume mume sile""}]","[{""inp"": ""femta mume femta femta femta femta femta"", ""out"": ""femta femta femta femta femta mume femta""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""permutation""], ""template"": ""extension_append_boundary_side_first"", ""template_family"": ""extension"", ""template_params"": {""side"": ""first""}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,partitioning_by_offset_offset_1,partitioning,hard,full_rule_remap,True,0.375,1.0,1.0,1.0,0.0,0.375,1.0,0.0,1.0,0.0,1.0,0.75,"{""1"": [""sama""], ""2"": [""div""], ""3"": [""div""], ""4"": [""sama""], ""5"": [""div""]}","{""1"": [""kuvo kutvi""], ""2"": [""kuvo kutvi""], ""3"": [""kuvo kutvi""], ""4"": [""kuvo kutvi""], ""5"": [""kuvo kutvi""]}","[""div""]","[""div kuvo losa sama""]","[{""inp"": ""losa kuvo kutvi"", ""out"": ""kuvo""}, {""inp"": ""kuvo sama"", ""out"": ""sama""}, {""inp"": ""kutvi div losa"", ""out"": ""div""}, {""inp"": ""losa kutvi sama"", ""out"": ""kutvi""}, {""inp"": ""div sama kutvi"", ""out"": ""sama""}]","[{""inp"": ""kutvi sama div"", ""out"": ""sama""}]","[{""inp"": ""kuvo kutvi div sama"", ""out"": ""kutvi sama""}]","[{""inp"": ""div losa"", ""out"": ""losa div""}, {""inp"": ""kutvi div"", ""out"": ""div kutvi""}, {""inp"": ""kutvi losa sama"", ""out"": ""sama losa kutvi""}, {""inp"": ""kutvi div sama"", ""out"": ""sama div kutvi""}, {""inp"": ""kuvo sama losa"", ""out"": ""losa sama kuvo""}]","[{""inp"": ""kutvi kuvo"", ""out"": ""kuvo kutvi""}]","[{""inp"": ""sama losa kuvo div"", ""out"": ""div kuvo losa sama""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""reindexing"", ""partitioning"", ""extension"", ""permutation"", ""iteration""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_last,extension,medium,full_rule_remap,True,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4,"{""1"": [""cherbe cherbe mogsho mogsho""], ""2"": [""cherbe cherbe mogsho mogsho""], ""3"": [""cherbe cherbe mogsho mogsho""], ""4"": [""cherbe cherbe mogsho mogsho""], ""5"": [""cherbe cherbe mogsho mogsho""]}","{""1"": [""vota mogsho cherbe vota""], ""2"": [""vota mogsho cherbe vota""], ""3"": [""vota mogsho cherbe vota""], ""4"": [""vota mogsho cherbe vota""], ""5"": [""vota mogsho cherbe vota""]}","[""vota vota cherbe cherbe cherbe cherbe""]","[""cherbe vota mogsho mogsho cherbe""]","[{""inp"": ""vota vota cherbe vota"", ""out"": ""vota vota cherbe vota vota""}, {""inp"": ""nukpe mogsho vota mogsho"", ""out"": ""nukpe mogsho vota mogsho mogsho""}, {""inp"": ""mogsho cherbe vota"", ""out"": ""mogsho cherbe vota vota""}, {""inp"": ""mogsho nukpe nukpe"", ""out"": ""mogsho nukpe nukpe nukpe""}, {""inp"": ""cherbe vota vota vota"", ""out"": ""cherbe vota vota vota vota""}]","[{""inp"": ""cherbe cherbe mogsho"", ""out"": ""cherbe cherbe mogsho mogsho""}]","[{""inp"": ""vota vota cherbe cherbe cherbe"", ""out"": ""vota vota cherbe cherbe cherbe cherbe""}]","[{""inp"": ""cherbe nukpe nukpe"", ""out"": ""nukpe nukpe cherbe""}, {""inp"": ""nukpe vota mogsho nukpe"", ""out"": ""nukpe mogsho vota nukpe""}, {""inp"": ""nukpe vota nukpe"", ""out"": ""nukpe vota nukpe""}, {""inp"": ""mogsho cherbe cherbe"", ""out"": ""cherbe cherbe mogsho""}, {""inp"": ""cherbe cherbe mogsho vota"", ""out"": ""vota mogsho cherbe cherbe""}]","[{""inp"": ""cherbe vota mogsho vota"", ""out"": ""vota mogsho vota cherbe""}]","[{""inp"": ""mogsho mogsho cherbe vota cherbe"", ""out"": ""cherbe vota cherbe mogsho mogsho""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""partitioning"", ""extension"", ""permutation"", ""iteration""], ""template"": ""extension_append_boundary_side_last"", ""template_family"": ""extension"", ""template_params"": {""side"": ""last""}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,permutation_reverse,permutation,hard,full_rule_remap,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"{""1"": [""soche"", ""liz"", ""kukmu""], ""2"": [""soche"", ""liz"", ""kukmu""], ""3"": [""soche"", ""liz"", ""kukmu""], ""4"": [""soche"", ""liz"", ""kukmu""], ""5"": [""soche"", ""liz"", ""kukmu""]}","{""1"": [""liz"", ""soche"", ""kukmu"", ""kukmu""], ""2"": [""liz"", ""soche"", ""kukmu"", ""kukmu""], ""3"": [""liz"", ""soche"", ""kukmu"", ""kukmu""], ""4"": [""liz"", ""soche"", ""kukmu"", ""kukmu""], ""5"": [""liz"", ""soche"", ""kukmu"", ""kukmu""]}","[""soche""]","[""kukmu"", ""kukmu""]","[{""inp"": ""tufte liz lul"", ""out"": ""lul liz tufte""}, {""inp"": ""liz soche kukmu"", ""out"": ""kukmu soche liz""}, {""inp"": ""liz tufte lul"", ""out"": ""lul tufte liz""}, {""inp"": ""lul tufte"", ""out"": ""tufte lul""}, {""inp"": ""tufte soche liz"", ""out"": ""liz soche tufte""}]","[{""inp"": ""kukmu liz soche"", ""out"": ""soche liz kukmu""}]","[{""inp"": ""soche"", ""out"": ""soche""}]","[{""inp"": ""soche tufte"", ""out"": ""soche tufte tufte""}, {""inp"": ""lul tufte liz"", ""out"": ""lul tufte liz liz""}, {""inp"": ""lul tufte"", ""out"": ""lul tufte tufte""}, {""inp"": ""soche kukmu"", ""out"": ""soche kukmu kukmu""}, {""inp"": ""liz kukmu"", ""out"": ""liz kukmu kukmu""}]","[{""inp"": ""liz soche kukmu"", ""out"": ""liz soche kukmu kukmu""}]","[{""inp"": ""kukmu"", ""out"": ""kukmu kukmu""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""extension"", ""permutation"", ""partitioning"", ""iteration"", ""reindexing""], ""template"": ""permutation_reverse"", ""template_family"": ""permutation"", ""template_params"": {}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_last,extension,easy,full_rule_remap,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""gide"", ""shen"", ""shen"", ""gide"", ""shen"", ""shen""], ""2"": [""gide"", ""shen"", ""shen"", ""gide"", ""shen"", ""shen""], ""3"": [""gide"", ""shen"", ""shen"", ""gide"", ""shen"", ""shen""], ""4"": [""gide"", ""shen"", ""shen"", ""gide"", ""shen"", ""shen""], ""5"": [""gide"", ""shen"", ""shen"", ""gide"", ""shen"", ""shen""]}","{""1"": [""shen"", ""lobpa"", ""gide"", ""gide"", ""gide"", ""shen"", ""lobpa"", ""gide"", ""gide"", ""gide""], ""2"": [""shen"", ""lobpa"", ""gide"", ""gide"", ""gide"", ""shen"", ""lobpa"", ""gide"", ""gide"", ""gide""], ""3"": [""shen"", ""lobpa"", ""gide"", ""gide"", ""gide"", ""shen"", ""lobpa"", ""gide"", ""gide"", ""gide""], ""4"": [""shen"", ""lobpa"", ""gide"", ""gide"", ""gide"", ""shen"", ""lobpa"", ""gide"", ""gide"", ""gide""], ""5"": [""shen"", ""lobpa"", ""gide"", ""gide"", ""gide"", ""shen"", ""lobpa"", ""gide"", ""gide"", ""gide""]}","[""gide"", ""gide"", ""shen"", ""shen"", ""shen"", ""shen"", ""lobpa"", ""lobpa""]","[""shen"", ""gide"", ""shen"", ""shen"", ""gide"", ""shen"", ""lobpa"", ""shen"", ""gide"", ""shen"", ""shen"", ""gide"", ""shen"", ""lobpa""]","[{""inp"": ""lobpa lobpa gide gide shen"", ""out"": ""lobpa lobpa gide gide shen shen""}, {""inp"": ""gide shen lobpa lobpa lobpa"", ""out"": ""gide shen lobpa lobpa lobpa lobpa""}, {""inp"": ""gide shen shen lobpa"", ""out"": ""gide shen shen lobpa lobpa""}, {""inp"": ""shen lobpa lobpa gide gide"", ""out"": ""shen lobpa lobpa gide gide gide""}, {""inp"": ""shen lobpa gide lobpa shen"", ""out"": ""shen lobpa gide lobpa shen shen""}]","[{""inp"": ""gide shen shen gide shen"", ""out"": ""gide shen shen gide shen shen""}]","[{""inp"": ""gide gide shen shen shen shen lobpa"", ""out"": ""gide gide shen shen shen shen lobpa lobpa""}]","[{""inp"": ""gide shen lobpa shen gide"", ""out"": ""gide shen lobpa shen gide gide shen lobpa shen gide""}, {""inp"": ""gide gide gide gide gide"", ""out"": ""gide gide gide gide gide gide gide gide gide gide""}, {""inp"": ""shen shen gide lobpa gide"", ""out"": ""shen shen gide lobpa gide shen shen gide lobpa gide""}, {""inp"": ""shen lobpa gide gide"", ""out"": ""shen lobpa gide gide shen lobpa gide gide""}, {""inp"": ""lobpa lobpa shen gide"", ""out"": ""lobpa lobpa shen gide lobpa lobpa shen gide""}]","[{""inp"": ""shen lobpa gide gide gide"", ""out"": ""shen lobpa gide gide gide shen lobpa gide gide gide""}]","[{""inp"": ""shen gide shen shen gide shen lobpa"", ""out"": ""shen gide shen shen gide shen lobpa shen gide shen shen gide shen lobpa""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""iteration"", ""extension""], ""template"": ""extension_append_boundary_side_last"", ""template_family"": ""extension"", ""template_params"": {""side"": ""last""}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_first,extension,easy,full_rule_remap,True,0.75,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9000000000000001,"{""1"": [""chebni chebni pani pani pani chebni""], ""2"": [""chebni chebni pani pani pani pani""], ""3"": [""chebni chebni pani pani pani chebni""], ""4"": [""chebni chebni pani pani pani chebni""], ""5"": [""chebni chebni pani pani pani chebni""]}","{""1"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""], ""2"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""], ""3"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""], ""4"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""], ""5"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""]}","[""pani chebni chebni sizli pani chebni pani""]","[""chebni pani pani chebni sizli sizli chebni pani pani chebni sizli sizli""]","[{""inp"": ""sizli sizli sizli sizli chebni"", ""out"": ""sizli sizli sizli sizli chebni sizli""}, {""inp"": ""sizli chebni sizli chebni sizli"", ""out"": ""sizli chebni sizli chebni sizli sizli""}, {""inp"": ""chebni sizli pani pani"", ""out"": ""chebni sizli pani pani chebni""}, {""inp"": ""chebni chebni sizli chebni sizli"", ""out"": ""chebni chebni sizli chebni sizli chebni""}, {""inp"": ""chebni pani chebni chebni chebni"", ""out"": ""chebni pani chebni chebni chebni chebni""}]","[{""inp"": ""chebni chebni pani pani pani"", ""out"": ""chebni chebni pani pani pani chebni""}]","[{""inp"": ""pani chebni chebni sizli pani chebni"", ""out"": ""pani chebni chebni sizli pani chebni pani""}]","[{""inp"": ""pani chebni pani pani pani"", ""out"": ""pani chebni pani pani pani pani chebni pani pani pani""}, {""inp"": ""pani sizli chebni chebni pani"", ""out"": ""pani sizli chebni chebni pani pani sizli chebni chebni pani""}, {""inp"": ""pani sizli chebni pani pani"", ""out"": ""pani sizli chebni pani pani pani sizli chebni pani pani""}, {""inp"": ""chebni chebni sizli sizli chebni"", ""out"": ""chebni chebni sizli sizli chebni chebni chebni sizli sizli chebni""}, {""inp"": ""chebni sizli chebni chebni"", ""out"": ""chebni sizli chebni chebni chebni sizli chebni chebni""}]","[{""inp"": ""chebni sizli sizli chebni sizli"", ""out"": ""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""}]","[{""inp"": ""chebni pani pani chebni sizli sizli"", ""out"": ""chebni pani pani chebni sizli sizli chebni pani pani chebni sizli sizli""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""iteration""], ""template"": ""extension_append_boundary_side_first"", ""template_family"": ""extension"", ""template_params"": {""side"": ""first""}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
